,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
1,Hertha Berlin,L,0,0.44,12,3,0,0.35,17745
0,Union Berlin,D,1,1.90,12,3,1,1.50,17746
1,VfB Stuttgart,D,1,1.73,11,3,1,1.23,17746
0,Bayer Leverkusen,L,0,2.40,15,3,0,2.60,17747
1,FC Cologne,W,1,0.60,6,3,3,0.27,17747
0,Eintracht Frankfurt,W,2,1.55,14,4,3,1.65,17748
1,Bochum,L,1,1.21,7,4,0,1.04,17748
0,Borussia Dortmund,W,1,2.07,19,3,3,2.36,17749
1,Arminia Bielefeld,L,0,0.69,12,5,0,0.45,17749
0,Greuther Fuerth,D,0,0.78,8,1,1,1.07,17750
1,Freiburg,D,0,1.06,14,3,1,1.59,17750
0,Bochum,L,0,1.66,16,7,0,2.20,17751
1,Borussia M.Gladbach,W,2,0.62,8,5,3,0.58,17751
0,FC Cologne,D,1,1.27,11,1,1,1.58,17752
1,Borussia Dortmund,D,1,1.04,9,3,1,1.07,17752
0,Hertha Berlin,W,3,1.76,13,6,3,2.34,17753
1,Hoffenheim,L,0,0.58,8,0,0,0.46,17753
0,Mainz 05,W,4,4.33,14,6,3,2.99,17754
1,Arminia Bielefeld,L,0,0.24,6,0,0,0.01,17754
0,VfB Stuttgart,W,3,2.18,25,9,3,2.35,17755
1,Augsburg,L,2,0.77,10,4,0,0.47,17755
0,Wolfsburg,L,0,1.32,14,3,0,1.28,17756
1,Bayer Leverkusen,W,2,1.44,15,5,3,1.45,17756
0,RasenBallsport Leipzig,D,0,1.06,15,7,1,2.10,17757
1,Eintracht Frankfurt,D,0,0.26,6,0,1,0.57,17757
0,Bayern Munich,W,4,2.82,16,6,3,2.38,17758
1,Union Berlin,L,0,1.39,10,5,0,0.45,17758
0,Arminia Bielefeld,D,1,1.01,10,4,1,0.28,17759
1,VfB Stuttgart,D,1,2.73,15,4,1,2.60,17759
0,Augsburg,W,3,2.53,13,5,3,2.39,17760
1,Wolfsburg,L,0,1.19,18,5,0,0.45,17760
0,Hoffenheim,L,1,1.97,13,6,0,1.55,17761
1,Bochum,W,2,1.70,21,6,3,1.21,17761
0,Freiburg,L,1,0.75,8,3,0,0.17,17762
1,Bayern Munich,W,4,3.16,21,10,3,2.75,17762
0,Borussia M.Gladbach,D,1,1.55,16,7,1,1.22,17763
1,Mainz 05,D,1,1.78,21,10,1,1.52,17763
0,Union Berlin,W,1,1.07,12,4,3,2.17,17764
1,FC Cologne,L,0,0.22,6,1,0,0.51,17764
0,Bayer Leverkusen,W,2,1.79,19,6,3,2.03,17765
1,Hertha Berlin,L,1,0.87,7,4,0,0.71,17765
0,Eintracht Frankfurt,D,0,1.32,21,6,1,2.10,17766
1,Greuther Fuerth,D,0,0.47,4,2,1,0.62,17766
0,Borussia Dortmund,L,1,0.97,10,2,0,1.12,17767
1,RasenBallsport Leipzig,W,4,1.23,10,5,3,1.57,17767
0,Greuther Fuerth,L,0,0.65,10,1,0,0.10,17768
1,Borussia M.Gladbach,W,2,3.48,17,6,3,2.85,17768
0,Bochum,D,0,1.05,12,2,1,1.15,17769
1,Bayer Leverkusen,D,0,1.22,10,2,1,1.53,17769
0,FC Cologne,W,3,1.91,13,5,3,2.21,17770
1,Mainz 05,L,2,0.93,10,6,0,0.57,17770
0,Hertha Berlin,L,1,0.85,11,3,0,0.63,17771
1,Union Berlin,W,4,1.85,16,12,3,2.15,17771
0,VfB Stuttgart,L,0,2.03,13,2,0,1.78,17772
1,Borussia Dortmund,W,2,1.50,12,4,3,0.96,17772
0,Eintracht Frankfurt,L,1,1.10,18,5,0,1.06,17773
1,Freiburg,W,2,1.46,12,4,3,1.65,17773
